label,sample_size,distinct_matrices_in_sample,contains_1295,contains_1220,in_sample_total_cost,in_sample_worst_recourse,complete_library_total_cost,complete_library_worst_recourse,gap_vs_in_sample,gap_vs_exact_optimum,in_sample_rel_dev_from_exact_pct,C_depot_0,C_depot_1,q_mode_0,q_mode_1,q_mode_2,investment_cost,worst_scenario_id,worst_events_json,worst_unmet_tons,master_assembly_plus_lp_time_s,maximal_set_eval_time_s,wall_time_s
random_seed_37,1000,999,False,False,3578913097.206031,3510004693.7942724,8278590495.526741,8209682092.114983,4699677398.32071,4697497022.4913025,-0.060885755868305184,600.0,600.0,371.464330673004,300.24694948420614,130.0,68908403.41175835,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,10.815169095993042,2.935556173324585,13.95116901397705
random_seed_38,1000,1000,False,False,3579006164.044944,3509834725.8426967,8278830952.247191,8209659514.044944,4699824788.202248,4697737479.211752,-0.05828691728412051,600.0,600.0,481.4325842696629,300.0,130.0,69171438.20224719,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,10.744610071182251,3.0701568126678467,14.014283895492554
random_seed_39,1000,1000,False,False,3579803032.2654266,3511180976.580669,6579230619.8597,6510608564.174943,2999427587.5942736,2998137146.824261,-0.03603482510939776,600.0,600.0,332.65189962836774,189.91420156924588,158.33333333333334,68622055.68475737,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,14.886854887008667,3.1216423511505127,18.208597898483276
random_seed_40,1000,999,False,False,3578819364.735305,3510073474.7749186,8278583784.487749,8209837894.527363,4699764419.752444,4697490311.452311,-0.06350318184257228,600.0,600.0,300.1990049753092,302.6145412348386,130.0,68745889.96038616,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,12.528111696243286,3.258578062057495,15.987740993499756
random_seed_41,1000,1000,False,False,3579044942.857143,3509905800.0,8278799464.285714,8209660321.428572,4699754521.428572,4697705991.250275,-0.05720404099253224,600.0,600.0,467.9761904761905,300.0,130.0,69139142.85714285,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,12.403241157531738,2.6497550010681152,15.256659984588623
random_seed_42,1000,998,False,False,3579765627.1551723,3511141137.765252,6579188989.389919,6510564499.999999,2999423362.234747,2998095516.3544803,-0.03707934155488953,600.0,600.0,350.0,179.02483053344068,158.33333333333334,68624489.38992038,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,10.407807111740112,3.1372077465057373,13.744837760925293
random_seed_43,1000,998,False,False,3579741841.433611,3511121113.693626,6579148736.855634,6510528009.115649,2999406895.422023,2998055263.8201947,-0.03774354431140877,600.0,600.0,384.2423784328546,155.15167548500887,158.33333333333331,68620727.73998488,1295,"[[0, 0, 6], [1, 0, 6]]",600.0000000000002,11.997775077819824,3.308027982711792,15.515246868133545
random_seed_44,1000,998,False,False,3578805656.25,3509977145.380435,8278539910.869565,8209711400.0,4699734254.619565,4697446437.8341255,-0.06388598350379819,600.0,600.0,350.0,292.3641304347826,130.0,68828510.86956522,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,10.872724294662476,3.0792200565338135,14.151095151901245
random_seed_45,1000,1000,False,False,3578906500.0,3510170500.0,8278574400.0,8209838400.0,4699667900.0,4697480926.964561,-0.06106997909734181,600.0,600.0,300.0,300.0,130.0,68736000.0,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,10.879337072372437,2.9713079929351807,14.052692890167236
random_seed_46,1000,999,False,False,3579852556.481664,3511195043.2840242,6579212932.6849785,6510555419.487338,2999360376.2033143,2998119459.6495395,-0.03465188951694681,600.0,600.0,354.1653727803969,185.42119526861077,158.33333333333334,68657513.19763996,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,10.948957920074463,2.957109212875366,14.105780124664307
